SEZ6L2	APLP2
GAPT	PRNP
ZNF669	TUBD1
HSPB9	CEACAM1
EPB41L4B	TMED5
BAI3	ZNF277
BAI3	PI15
MRGPRF	ATOH8
C14orf180	GLYR1
ACSM5	ACSBG1
KRTAP5-8	ZNF142
KRTAP5-8	KRTAP4-1
SLC24A3	ACP1
SLC24A3	ZNF500
AMIGO3	AMIGO2
COX16	COX5B
FAM111A	DNAJC12
FAM111A	FASTKD3
FAM111A	KPNA6
FAM111A	AMZ1
TATDN3	SOX30
TATDN3	CNIH1
ZNF12	KDELR2
ANO10	TTBK2
ANO10	CLCA1
ZNF540	RNF145
ZNF540	ZNF518B
NBPF26	SRGAP3
NBPF26	NPIPB3
CCDC89	TTLL5
FAM120C	TMEM255A
SV2C	UNC13C
SV2C	GABRB3
SV2C	VAMP2
SV2C	UNC93B1
RNF128	UBE3A
RNF128	UBOX5
NPIPB3	NCAPH2
NPIPB3	AP3B2
CYB561	PHF20
CYB561	TMEM42
TBRG1	GDPD5
TBRG1	FBXO3
TBRG1	CYB5A
FAM213B	GRHL1
FAM213B	LCE1D
C1orf115	PRKX
ZNF195	GON4L
ZNF195	PCNX
C21orf2	NNT
C21orf2	KIAA0556
CCL14	CXCL5
CCL14	PPBP
CCL14	CXCR4
CCL14	CXCL8
KIAA1958	INIP
KIAA1958	SUMO1
CORO7	NUDT12
EFCAB14	PCNXL3
EFCAB14	MRPS10
CCSER2	ARFGEF1
C6orf106	ATG7
TMC7	NSG1
ZNF587B	SRP9
PQLC1	ADH5
PQLC1	KCTD5
LEPROTL1	NARS
LEPROTL1	FXYD2
ATOH8	TCF3
PCNXL3	MAP3K11
PCNXL3	MKL2
ANKRD37	P4HA1
NRL	NR1D1
NRL	PPP2R5C
MEGF9	SUCNR1
ZC4H2	HSPG2
ZC4H2	LAS1L
ZC4H2	TIMM8A
INIP	SSBP3
BMP8B	SCG2
C2CD2	FAM120C
C2CD2	PRKX
C2CD2	RIPK4
LGALS8	ESR1
LGALS8	ZCCHC2
LGALS8	ITGB1
LGALS8	SPCS3
LEPROT	LEP
MORN1	GLTSCR2
MORN1	DCAF4
IMPACT	CERK
CCDC137	DDX18
ZDHHC24	FXYD2
ZDHHC24	RCOR2
FBRSL1	PCGF3
KIAA1033	TTBK2
KIAA1033	SNX3
KIAA1033	RUFY1
GPR137	GPRC5C
FARP1	THAP4
FARP1	SEMA6A
FARP1	CEP112
FARP1	PAIP2B
SLC9A8	CA14
SLC9A8	SLC39A9
SLC9A8	CLCN7
SLC9A8	SST
OTULIN	RIPK2
JMJD4	CASC4
JMJD4	KDM6B
JMJD4	OGDH
MAST4	MTMR9
MAST4	C11orf49
EBF3	FBXO31
POU6F1	KLF16
POU6F1	SOX1
POU6F1	FARSA
AGAP6	RIPK4
MID1IP1	ACLY
MID1IP1	ACACA
CHAC1	PPP1R15A
CHAC1	XBP1
FNDC3A	LPAR6
FNDC3A	CDADC1
FNDC3A	MARCH1
FNDC3A	FAM134A
ST18	NEUROG3
KIAA0586	KIAA1731
KIAA0586	OFD1
ENSG00000259288	NCF1
ENSG00000259288	TIAM1
ENSG00000259288	RHOF
JADE2	SAMD9L
JADE2	ANLN
IRF2BP2	NCOR1
IRF2BP2	TSPAN31
PCDH9	KLHL1
PCDH9	SORCS3
PCDH9	MSRA
PCDH9	CNTNAP2
AKIRIN1	FAM124A
AKIRIN1	KCNQ2
AKIRIN1	SYNCRIP
NGRN	CHN2
FAM47C	UBXN11
FAM53A	SPATA2L
NISCH	CLDN1
PRUNE	GSK3A
MBLAC2	VRK1
IP6K3	MTOR
IP6K3	GLE1
IP6K3	SGK494
IP6K3	G6PD
GSAP	NDUFS7
DENND5B	SSU72
DENND5B	GALNT16
DENND5B	CAMK1G
FAM73A	PHF14
FAM73A	SSU72
FAM73A	DENND5B
AVPI1	SPAG9
PHF14	BRD2
GKAP1	FBXO9
GKAP1	ZNF277
ZNF365	ADO
ZNF365	DZIP1
ZNF365	KCTD5
ZNF365	AP3D1
ZNF365	ZNF212
ZNF365	PPAN
CDIP1	MKL2
CDIP1	ATOH8
CDIP1	SMURF1
CDIP1	ATMIN
SYNGR4	RAB3A
SYNGR4	ATP6V0A1
CLSTN2	UNC13C
CLSTN2	SLC10A4
CLSTN2	OGT
BDH1	E2F6
BDH1	PDS5B
BDH1	OGDH
BDH1	QPCT
OVOL1	GRHL1
OVOL1	MUS81
OVOL1	NEUROG3
OVOL1	RIPK4
CDK2AP2	MBD2
AURKC	SOX30
AURKC	KIF17
AURKC	NCAPG
GAB3	MAP2K7
GAB3	DUSP10
GAB3	SRC
GAB3	ATF7
GAB3	CSF1R
KLHL29	SMIM14
KCNB2	RPS2
KCNB2	MRPS10
KCNB2	RPL22
KCNB2	RPL11
KCNB2	RPL5
KCNB2	RPS6
KCNB2	RPS3A
KCNB2	RPL35A
KCNB2	AMIGO1
KCNB2	KLHL29
LYRM1	RRP7A
LYRM1	NDUFS7
LYRM1	PID1
FAM165B	PAXBP1
PLBD1	UQCRC1
PCNXL4	CCNI
FAM102A	TMEM14A
FAM102A	YME1L1
FAM102A	SKAP2
SPEF1	MORN1
SPEF1	RSBN1
FJX1	NSUN5
FJX1	NF2
FJX1	CELSR1
RMDN1	PYCRL
RMDN1	BECN1
RMDN1	PTPN2
GREB1L	TENM4
ZSCAN9	PRKCQ
C6orf211	VPS13C
FOXJ3	MFF
FOXJ3	RERE
EN2	ZIC1
GATS	ZCWPW1
GATS	NPHP3
TBC1D8	NPAS2
TBC1D8	TBC1D22A
TBC1D8	TBC1D13
CDC42BPA	DOCK10
CDC42BPA	ATMIN
CDC42BPA	TWIST1
CDC42BPA	ZBTB7A
CDC42BPA	DUSP6
CDC42BPA	PEX10
IGSF3	CACNB3
IGSF3	CEACAM1
IGSF3	GBA
DHRS7B	PEX19
DHRS7B	TBC1D22A
DHRS7B	SPATA2L
POGK	PGRMC1
PARG	TRMT44
PARG	DLK1
PARG	CHD1L
PARG	PARP12
KLHDC10	CHPF2
KLHDC10	PRDX2
KLHDC10	CEP41
TNFAIP8	CASP9
TNFAIP8	CFLAR
SYCE1L	PPP4R2
SYCE1L	ZNF775
RPGRIP1	PDE6D
RPGRIP1	RGS9
RPGRIP1	SDCCAG8
OXR1	MED8
OXR1	GPX4
OXR1	WDR7
FAM69B	TMEM132A
FAM69B	SS18L1
PIGK	PQLC3
PIGK	GFI1B
C11orf57	TMEM132A
C11orf57	ZCCHC2
PPEF1	PPP2R5B
PPEF1	CALM3
CCNDBP1	HAUS2
LRRC57	CCNDBP1
FLJ22184	ZNF587B
FLJ22184	PCGF3
SMIM14	GABRB1
ACRV1	ILF3
ACRV1	SP2
ACRV1	DPM1
ACRV1	SPAG9
ZCCHC2	TMED2
ZBP1	TLR10
ZBP1	STAT1
NDOR1	CYB5R3
NDOR1	CYB5A
NDOR1	C2orf68
NETO2	MAP6D1
NETO2	RALYL
NETO2	CNIH1
NETO2	HLA-C
AMIGO2	USH1C
AMIGO2	VPS18
PCNX	CASC4
C19orf47	PLD3
C19orf47	AKIRIN1
C19orf47	CEACAM4
C19orf47	FAM124A
MORC3	C2CD2
MORC3	TP53BP1
GLDN	OMG
TMCC1	SMIM14
TMCC1	RPS6
TMCC1	TMEM126B
TMCC1	PIGK
TMCC1	GATA2
TMCC1	PRKCQ
TMCC1	CAMK1G
GPR82	SST
OPA3	YME1L1
OPA3	MFF
OPA3	MTPAP
OPA3	RTN2
AFF2	GABRB3
AVL9	MADD
STOML1	STOM
BROX	PGRMC1
BROX	ARHGAP15
L1TD1	GPALPP1
L1TD1	VRTN
L1TD1	KANK4
ARMC10	KIF5B
TBC1D13	USP6NL
TBC1D13	BTNL3
FRMD4A	HSPH1
FRMD4A	RIN3
FOXQ1	CREBBP
FOXQ1	TWIST1
TSPAN15	IGSF3
TSPAN15	PLLP
TSPAN15	TSPAN31
SH2B3	ARHGEF40
SH2B3	JAK1
SH2B3	PTPN2
MACF1	AXIN1
FMO5	CYP3A5
ANKS1B	CACNA1A
ANKS1B	COG5
ANKS1B	HTR2A
ANKS1B	CNTN4
ANKS1B	CNTNAP5
SEL1L3	GTDC1
SEL1L3	QSOX1
SEL1L3	LRRC57
SEL1L3	RIOK3
SEL1L3	AMZ1
SIRPB1	TREM1
SIRPB1	SYK
